obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
3,19,9,target reached,goal_reached,65
3,19,10,target reached,goal_reached,65
3,19,11,target reached,goal_reached,66
3,19,12,target reached,goal_reached,68
3,20,1,target reached,goal_reached,65
3,20,2,target reached,goal_reached,65
3,20,3,target reached,goal_reached,65
3,20,4,target reached,goal_reached,65
3,20,5,target reached,goal_reached,66
3,20,6,target reached,goal_reached,67
3,20,7,target not reached,collision,49
3,20,8,target reached,goal_reached,66
3,20,9,target reached,goal_reached,69
3,20,10,target reached,goal_reached,65
3,20,11,target reached,goal_reached,66
3,20,12,target reached,goal_reached,65
6,1,1,target reached,goal_reached,65
6,1,2,target reached,goal_reached,65
6,1,3,target reached,goal_reached,65
6,1,4,target reached,goal_reached,65
6,1,5,target not reached,collision,38
6,1,6,target reached,goal_reached,68
6,1,7,target reached,goal_reached,65
6,1,8,target reached,goal_reached,67
6,1,9,target reached,goal_reached,66
6,1,10,target reached,goal_reached,71
6,1,11,target reached,goal_reached,66
6,1,12,target not reached,collision,48
6,2,1,target reached,goal_reached,66
6,2,2,target reached,goal_reached,66
6,2,3,target reached,goal_reached,65
6,2,4,target reached,goal_reached,65
6,2,5,target reached,goal_reached,65
6,2,6,target reached,goal_reached,66
6,2,7,target reached,goal_reached,67
6,2,8,target reached,goal_reached,71
6,2,9,target reached,goal_reached,67
6,2,10,target reached,goal_reached,65
6,2,11,target reached,goal_reached,66
6,2,12,target reached,goal_reached,65
6,3,1,target reached,goal_reached,65
6,3,2,target reached,goal_reached,66
6,3,3,target reached,goal_reached,66
6,3,4,target not reached,collision,32
6,3,5,target reached,goal_reached,65
6,3,6,target reached,goal_reached,66
6,3,7,target reached,goal_reached,66
6,3,8,target reached,goal_reached,69
6,3,9,target reached,goal_reached,66
6,3,10,target reached,goal_reached,65
6,3,11,target reached,goal_reached,66
6,3,12,target reached,goal_reached,65
6,4,1,target reached,goal_reached,65
6,4,2,target reached,goal_reached,65
6,4,3,target reached,goal_reached,67
6,4,4,target reached,goal_reached,65
6,4,5,target reached,goal_reached,66
6,4,6,target reached,goal_reached,66
6,4,7,target not reached,collision,17
6,4,8,target reached,goal_reached,67
6,4,9,target reached,goal_reached,65
6,4,10,target reached,goal_reached,65
6,4,11,target reached,goal_reached,66
6,4,12,target reached,goal_reached,66
6,5,1,target reached,goal_reached,65
6,5,2,target reached,goal_reached,66
6,5,3,target reached,goal_reached,65
6,5,4,target reached,goal_reached,65
6,5,5,target reached,goal_reached,66
6,5,6,target reached,goal_reached,67
6,5,7,target reached,goal_reached,66
6,5,8,target reached,goal_reached,68
6,5,9,target reached,goal_reached,71
6,5,10,target reached,goal_reached,65
6,5,11,target reached,goal_reached,70
6,5,12,target reached,goal_reached,66
6,6,1,target reached,goal_reached,72
6,6,2,target reached,goal_reached,66
6,6,3,target reached,goal_reached,65
6,6,4,target reached,goal_reached,65
6,6,5,target reached,goal_reached,67
6,6,6,target reached,goal_reached,70
6,6,7,target reached,goal_reached,66
6,6,8,target reached,goal_reached,67
6,6,9,target reached,goal_reached,66
6,6,10,target reached,goal_reached,65
